,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,lat_long,place_id,house_number,road,neighbourhood,city,county,state,postcode,dist_fromlake,avg_price_by_zipcode,median_price_by_zipcode,sale_price,profit,day,month,quarter,year,year_week,median_price_quarter
11,9212900260,2014-05-27,468000.0,2,1.0,1160,6000,1.0,0,0,4,7,860,300,1942,0,98115,47.69,-122.292,1330,6000,"47.69,-122.292",154880443,3169,Northeast 85th Street,Wedgwood,Seattle,King County,Washington,98115,5.986940293924619,618890.6579861111,564750.0,608400.0,140400.0,27,5,2014Q2,2014,2014-21,465000.0
12,114101516,2014-05-28,310000.0,3,1.0,1430,19901,1.5,0,0,4,7,1430,0,1927,0,98028,47.7558,-122.229,1780,12697,"47.7558,-122.229",250630093,8308,NE 176th Court,,,King County,Washington,98028,12.977193433367804,461823.93617021275,442500.0,403000.0,93000.0,28,5,2014Q2,2014,2014-21,465000.0
13,6054650070,2014-10-07,400000.0,3,1.75,1370,9680,1.0,0,0,4,7,1370,0,1977,0,98074,47.6127,-122.045,1370,10208,"47.6127,-122.045",296108785,22144,Northeast 3rd Place,,,King County,Washington,98074,16.359009996653416,686926.7747126437,645000.0,520000.0,120000.0,7,10,2014Q4,2014,2014-40,439000.0
17,6865200140,2014-05-29,485000.0,4,1.0,1600,4300,1.5,0,0,4,7,1600,0,1916,0,98103,47.6648,-122.34299999999999,1610,4300,"47.6648,-122.34299999999999",157644294,1215,North 50th Street,,Seattle,King County,Washington,98103,6.8136013283962145,584334.4991652755,550000.0,630500.0,145500.0,29,5,2014Q2,2014,2014-21,465000.0
18,16000397,2014-12-05,189000.0,2,1.0,1200,9850,1.0,0,0,4,7,1200,0,1921,0,98002,47.3089,-122.21,1060,5095,"47.3089,-122.21",212194421,19,Pike Street Northeast,,,King County,Washington,98002,37.0999922207527,234083.8730964467,235000.0,245700.0,56700.0,5,12,2014Q4,2014,2014-48,439000.0
19,7983200060,2015-04-24,230000.0,3,1.0,1250,9774,1.0,0,0,4,7,1250,0,1969,0,98003,47.3343,-122.306,1280,8850,"47.3343,-122.306",232650368,29826,21st Avenue South,,,King County,Washington,98003,34.271027540664925,294225.39130434784,266500.0,299000.0,69000.0,24,4,2015Q2,2015,2015-16,475000.0
25,1202000200,2014-11-03,233000.0,3,2.0,1710,4697,1.5,0,0,5,6,1710,0,1941,0,98002,47.3048,-122.21799999999999,1030,4705,"47.3048,-122.21799999999999",231664714,316,I Street Southeast,,,King County,Washington,98002,37.499164507362984,234083.8730964467,235000.0,302900.0,69900.0,3,11,2014Q4,2014,2014-44,439000.0
27,3303700376,2014-12-01,667000.0,3,1.0,1400,1581,1.5,0,0,5,8,1400,0,1909,0,98112,47.6221,-122.314,1860,3861,"47.6221,-122.314",138534782,1414,East Harrison Street,,Seattle,King County,Washington,98112,4.603668671426033,1095799.712686567,912500.0,867100.0,200100.0,1,12,2014Q4,2014,2014-48,439000.0
33,7589200193,2014-11-10,535000.0,3,1.0,1090,3000,1.5,0,0,4,8,1090,0,1929,0,98117,47.6889,-122.375,1570,5080,"47.6889,-122.375",155308206,1420,Northwest 83rd Street,Whittier Heights,Seattle,King County,Washington,98117,10.180515703685046,575643.4105839416,542500.0,695500.0,160500.0,10,11,2014Q4,2014,2014-45,439000.0
44,1432701230,2014-07-29,309000.0,3,1.0,1280,9656,1.0,0,0,4,6,920,360,1959,0,98058,47.4485,-122.175,1340,8808,"47.4485,-122.175",231133412,12505,Southeast 172nd Street,,,King County,Washington,98058,22.307131200263857,354019.7982261641,335000.0,401700.0,92700.0,29,7,2014Q3,2014,2014-30,450000.0
48,9215400105,2015-04-28,450000.0,3,1.75,1250,5963,1.0,0,0,4,7,1250,0,1953,0,98115,47.6796,-122.301,970,5100,"47.6796,-122.301",155621940,7001,25th Avenue Northeast,Ravenna,Seattle,King County,Washington,98115,5.320801638715439,618890.6579861111,564750.0,585000.0,135000.0,28,4,2015Q2,2015,2015-17,475000.0
51,7231300125,2015-02-17,345000.0,5,2.5,3150,9134,1.0,0,0,4,8,1640,1510,1966,0,98056,47.4934,-122.189,1990,9133,"47.4934,-122.189",233325184,663,Blaine Avenue Northeast,Highlands Park,,King County,Washington,98056,17.225529228603047,421449.4133663366,380000.0,448500.0,103500.0,17,2,2015Q1,2015,2015-07,440000.0
65,3253500160,2014-11-20,317625.0,3,2.75,2770,3809,1.5,0,0,5,7,1770,1000,1925,0,98144,47.5747,-122.304,1440,4000,"47.5747,-122.304",159212558,3214,22nd Avenue South,,Seattle,King County,Washington,98144,8.08782801394665,594971.6,450000.0,412912.5,95287.5,20,11,2014Q4,2014,2014-46,439000.0
68,1274500060,2014-08-25,204000.0,3,1.0,1000,12070,1.0,0,0,4,7,1000,0,1968,0,98042,47.3621,-122.11,1010,12635,"47.3621,-122.11",231197476,17235,Southeast 267th Place,,,King County,Washington,98042,32.964485052995315,311748.1575091575,292000.0,265200.0,61200.0,25,8,2014Q3,2014,2014-34,450000.0
71,1049000060,2015-01-05,325000.0,3,2.0,1260,5612,1.0,0,0,4,7,1260,0,1972,0,98034,47.7362,-122.179,1640,4745,"47.7362,-122.179",178984673,12206,Northeast 149th Place,,,King County,Washington,98034,12.18264263179385,521148.0810313076,445000.0,422500.0,97500.0,5,1,2015Q1,2015,2015-01,440000.0
86,2599001200,2014-11-03,305000.0,5,2.25,2660,8400,1.5,0,0,5,7,2660,0,1961,0,98092,47.2909,-122.189,1590,8165,"47.2909,-122.189",233349829,2020,Fir Street Southeast,,,King County,Washington,98092,39.27303736554231,334921.0626780627,309780.0,396500.0,91500.0,3,11,2014Q4,2014,2014-44,439000.0
88,1332700270,2014-05-19,215000.0,2,2.25,1610,2040,2.0,0,0,4,7,1610,0,1979,0,98056,47.518,-122.194,1950,2025,"47.518,-122.194",232066998,2906,Kennewick Place Northeast,Kennydale,,King County,Washington,98056,14.514086850042863,421449.4133663366,380000.0,279500.0,64500.0,19,5,2014Q2,2014,2014-20,465000.0
96,1099611230,2014-09-12,199000.0,4,1.5,1160,6400,1.0,0,0,4,7,1160,0,1975,0,98023,47.3036,-122.37799999999999,1160,6400,"47.3036,-122.37799999999999",233224693,33209,36th Avenue Southwest,,,King County,Washington,98023,38.551642977197666,287419.9512195122,268750.0,258700.0,59700.0,12,9,2014Q3,2014,2014-36,450000.0
97,722079104,2014-07-11,314000.0,3,1.75,1810,41800,1.0,0,0,5,7,1210,600,1980,0,98038,47.4109,-121.958,1650,135036,"47.4109,-121.958",234307414,21315,290th Avenue Southeast,,,King County,Washington,98038,34.14106354399257,367144.8532423208,342250.0,408200.0,94200.0,11,7,2014Q3,2014,2014-27,450000.0
105,546000875,2014-05-23,460000.0,3,1.0,1670,4005,1.5,0,0,4,7,1170,500,1939,0,98117,47.6878,-122.38,1240,4005,"47.6878,-122.38",154456357,8026,18th Avenue Northwest,Whittier Heights,Seattle,King County,Washington,98117,10.439579090980754,575643.4105839416,542500.0,598000.0,138000.0,23,5,2014Q2,2014,2014-20,465000.0
106,3530510041,2014-07-23,188500.0,2,1.75,1240,2493,1.0,0,0,4,8,1240,0,1985,0,98198,47.3813,-122.322,1270,4966,"47.3813,-122.322",230590170,24521,9th Place South,Zenith,,King County,Washington,98198,29.246579677619582,302925.9527272727,265000.0,245050.0,56550.0,23,7,2014Q3,2014,2014-29,450000.0
108,3134100116,2014-08-27,470000.0,5,1.75,2030,12342,2.0,0,0,4,7,2030,0,1942,0,98052,47.6417,-122.109,2500,9433,"47.6417,-122.109",296159823,3598,173rd Court Northeast,,,King County,Washington,98052,11.257081995853472,645894.7565674256,615000.0,611000.0,141000.0,27,8,2014Q3,2014,2014-34,450000.0
