,id,query,place_id,house_number,road,neighbourhood,city,county,state,postcode
0,7129300520,"47.5112,-122.257",161022547,10012,61st Avenue South,Rainier Beach,Seattle,King County,Washington,98178
1,6414100192,"47.721000000000004,-122.319",160016678,837,Northeast 127th Street,NA,Seattle,King County,Washington,98125
2,5631500400,"47.7379,-122.23299999999999",74951055,15109,81st Avenue Northeast,NA,NA,King County,Washington,98028
3,2487200875,"47.5208,-122.39299999999999",156726151,9236,Fauntleroy Way Southwest,Fauntleroy,Seattle,King County,Washington,98136
4,1954400510,"47.6168,-122.045",296045104,923,221st Avenue Northeast,NA,NA,King County,Washington,98074
5,7237550310,"47.6561,-122.005",171513994,25005,Northeast Patterson Way,NA,NA,King County,Washington,98053
6,1321400060,"47.3097,-122.32700000000001",231510261,533,South 330th Place,NA,NA,King County,Washington,98003
7,2008000270,"47.4095,-122.315",232411336,21421,14th Avenue South,Des Moines Creek,NA,King County,Washington,98198
8,2414600126,"47.5123,-122.337",230431537,216,Southwest 102nd Street,NA,Seattle,King County,Washington,98146
9,3793500160,"47.3684,-122.031",219783947,26007,232nd Place Southeast,Katesridge,NA,King County,Washington,98038
10,1736800520,"47.6007,-122.145",296166021,1133,146th Avenue Southeast,NA,Bellevue,King County,Washington,98007
11,9212900260,"47.69,-122.292",154880443,3169,Northeast 85th Street,Wedgwood,Seattle,King County,Washington,98115
12,114101516,"47.7558,-122.229",250630093,8308,NE 176th Court,NA,NA,King County,Washington,98028
13,6054650070,"47.6127,-122.045",296108785,22144,Northeast 3rd Place,NA,NA,King County,Washington,98074
14,1175000570,"47.67,-122.39399999999999",156358308,2825,Northwest 57th Street,Sunset Hill,Seattle,King County,Washington,98107
15,9297300055,"47.5714,-122.375",160309501,3614,33rd Avenue Southwest,NA,Seattle,King County,Washington,98126
16,1875500060,"47.7277,-121.962",296002230,28272,Northeast 141st Place,NA,NA,King County,Washington,98019
17,6865200140,"47.6648,-122.34299999999999",157644294,1215,North 50th Street,NA,Seattle,King County,Washington,98103
18,16000397,"47.3089,-122.21",212194421,19,Pike Street Northeast,NA,NA,King County,Washington,98002
19,7983200060,"47.3343,-122.306",232650368,29826,21st Avenue South,NA,NA,King County,Washington,98003
20,6300500875,"47.7025,-122.34100000000001",154984735,10033,Interlake Avenue North,Licton Springs,Seattle,King County,Washington,98133
21,2524049179,"47.5316,-122.23299999999999",296100656,7998,79th Avenue Southeast,NA,NA,King County,Washington,98040
22,7137970340,"47.3266,-122.169",232015073,12840,Southeast 307th Place,NA,NA,King County,Washington,98092
23,8091400200,"47.3533,-122.166",232011968,13105,Southeast 277th Place,NA,NA,King County,Washington,98030
24,3814700200,"47.3739,-122.17200000000001",229218343,12715,Southeast 254th Court,White Horse Crossing,NA,King County,Washington,98030
25,1202000200,"47.3048,-122.21799999999999",231664714,316,I Street Southeast,NA,NA,King County,Washington,98002
26,1794500383,"47.6386,-122.36",156145568,206,West Boston Street,NA,Seattle,King County,Washington,98119
27,3303700376,"47.6221,-122.314",138534782,1414,East Harrison Street,NA,Seattle,King County,Washington,98112
28,5101402488,"47.695,-122.304",157020077,2302,Northeast 91st Street,Wedgwood,Seattle,King County,Washington,98115
29,1873100390,"47.7073,-122.11",226188809,17256,Northeast 119th Way,NA,NA,King County,Washington,98052-2866
30,8562750320,"47.5391,-122.07",116691459,NA,Northwest Granite Peak Lane,NA,NA,King County,Washington,98027-2604
31,2426039314,"47.7274,-122.35700000000001",20276001,13435,Greenwood Avenue North,Bitter Lake,Seattle,King County,Washington,98133
32,461000390,"47.6823,-122.368",157317632,7326,9th Avenue Northwest,Whittier Heights,Seattle,King County,Washington,98117
33,7589200193,"47.6889,-122.375",155308206,1420,Northwest 83rd Street,Whittier Heights,Seattle,King County,Washington,98117
34,7955080270,"47.4276,-122.15700000000001",231408959,19504,138th Avenue Southeast,Rock Creek,NA,King County,Washington,98058
35,9547205180,"47.6827,-122.31",156790225,7349,17th Avenue Northeast,NA,Seattle,King County,Washington,98115
36,9435300030,"47.6621,-122.132",296027418,15645,Northeast 62nd Court,NA,NA,King County,Washington,98052
37,2768000400,"47.6702,-122.36200000000001",116968397,NA,Northwest 58th Street,NA,Seattle,King County,Washington,98107
38,7895500070,"47.3341,-122.28200000000001",231097666,29840,42nd Avenue South,NA,NA,King County,Washington,98001
39,2078500320,"47.5301,-122.18",233234346,8113,120th Place Southeast,NA,NA,King County,Washington,98056
40,5547700270,"47.6145,-122.027",11020272,521,234th Place Northeast,NA,NA,King County,Washington,98074
